datetime,index,sv,rv
2010-12-20,DAX,1.0378445206966298,0.00606630035524124
2010-12-20,DJIA,0.8388236395114874,0.004381780460041329
2010-12-20,FTSE 100,0.8421215242018536,0.0049193495504995365
2010-12-21,CAC 40,1.1857080760769283,0.005949789912257406
2010-12-21,DAX,1.0243660204278426,0.0035916569992135937
2010-12-21,DJIA,0.8608979458144215,0.003391164991562634
2010-12-21,FTSE 100,1.0225761365308224,0.0075432088662584435
2010-12-22,CAC 40,1.2275565964090551,0.004074309757492673
2010-12-22,DAX,1.078280021502992,0.0021142374511865973
2010-12-22,DJIA,0.8719350989658883,0.002186321110907545
2010-12-22,FTSE 100,1.0466367515080182,0.0035355339059327377
2010-12-23,CAC 40,1.1438595557448017,0.004370354676682431
2010-12-23,DAX,0.8491455169336063,0.004219004621945798
2010-12-23,DJIA,0.8388236395114874,0.002258317958127243
2010-12-23,FTSE 100,1.2030307488597909,0.003255764119219941
2010-12-24,CAC 40,0.8090713930877866,0.0019570385790780927
2010-12-24,FTSE 100,1.1067882889510077,0.003847076812334269
2010-12-27,CAC 40,1.1299100489674259,0.013187531990482523
2010-12-27,DAX,1.0243660204278426,0.013219757940295276
2010-12-27,DJIA,0.6291177296336157,0.004266145801540308
2010-12-28,CAC 40,1.2694051167411824,0.005059644256269407
2010-12-28,DAX,0.8761025174711808,0.003860051813123757
2010-12-28,DJIA,0.7836378737541528,0.0016522711641858304
2010-12-29,CAC 40,0.9485664608615428,0.005558776843874918
